"rank","account","markets","incentivePoints","updatedAt","pnl","roi"
1,"dydx1kg8cq523dcezcz35h0w8z723dewlx6qzlcns00","[""PRIME"",""PENDLE"",""PEOPLE"",""MAVIA""]",31.483199999999997,1724659428084,1208.5943399999996,4.715400321824651
2,"dydx1eygux3h7e66sh927fk8rmjmw6ljlydcr024ff2","[""BONK"",""ALT"",""BODEN"",""ETHFI"",""AURORA"",""POPCAT"",""PRIME"",""ZERO"",""DRIFT"",""MOG"",""PAXG"",""PENDLE"",""WLD"",""RENDER"",""DYDX""]",555.766032,1724659428034,5792.748021,4.2902892810829405
3,"dydx170hrkq7q54tf49nf9r6wyv7lnz9y4ze38vje3r","[""PEPE""]",481.8170666666666,1724659427910,9370.921798,3.113785195177499
4,"dydx16c7r09z3sr5mhkl5stjx3euzx7hnu9sw7gaymx","[""PEOPLE"",""MAVIA"",""ZRO""]",14.850666666666665,1724659427881,774.2135579999995,2.806506109633605
5,"dydx1edsgmjmyme227gj820p2nfvggfgvkppssgnqnw","[""MAVIA"",""ETH""]",10.005333333333333,1724659427997,823.6543440000023,2.690080291345091
6,"dydx1vre9t50c8d3uunz9grclgju5uvaxukumy367ur","[""ETH"",""DOGE""]",28.76016,1724659428185,990.932966,2.610433580937722
7,"dydx1j62md0m665adhqxkcsnm8s9ag0xfre9q0egvyt","[""PENDLE"",""1INCH"",""MAVIA"",""BTC""]",503.51626666666664,1724659428018,7451.636576000001,2.4809676284003217
8,"dydx1r326sv0ywgedrz27slcm43r60kckl7v05ch3yf","[""ETH""]",52.14593866666666,1724659428125,1732.808671,2.3099544090360284
9,"dydx13rf45zema787j07jatn5nferhyejf9lnnv2v6z","[""ETH"",""SOL""]",55.40895733333333,1724659427861,879.278825,2.3046607506429115
10,"dydx1ejgxvtwrtfa3keft0qrcnuah8xlylymddl8g0c","[""PENDLE"",""ETH""]",15.194666666666667,1724659428034,2406.3436900000015,2.112591610246763
11,"dydx1y79arxmvmms6my37h026rv3uwde68m8qhfm8eg","[""1INCH"",""PEOPLE"",""BTC""]",270.98464533333333,1724659428202,6050.820903,2.012857849547652
12,"dydx1xjgvcu9xng3qufs2pnhcc4cc6w6v77qnzhqg08","[""ADA""]",0.07272533333333332,1724659428223,151.3578370000032,1.8792156953404557
13,"dydx1t5sj55k7m0l9dnjepejvluugsm27kkwpsu9rry","[""PEOPLE"",""PENDLE""]",36.377599999999994,1724659428178,1827.7151200000008,1.8626691952476326
14,"dydx1hcsgnmdpsquu3zcqmff448kcf4knvp32en3epl","[""RUNE"",""BTC"",""CRV"",""SOL"",""DOGE"",""DYDX""]",399.16703999999993,1724659428043,9350.579037000003,1.7979943363785975
15,"dydx1wkhgh09enn0a66u2sptf2zfv47lrg89x9m63aj","[""ETH""]",116.4144,1724659428207,8203.036941,1.7915920460273356
16,"dydx1h0ku0sj9z7w0rn47c692e0074x4suysu89w5wj","[""PENDLE"",""ETH""]",10.7136,1724659428043,719.756785000005,1.7907773296629161
17,"dydx1e7hkcyyskgdgcc4j4pk06j99ylcfj0y8mf5s83","[""ETH"",""ATOM""]",165.75573333333332,1724659427997,5200.736059,1.7215575549175601
18,"dydx1pv584quyqk5p5s48sh6zd3ygnzretaf5rsp6ew","[""ETH"",""BTC""]",45.55466666666666,1724659428099,5121.800235999999,1.7024842536867006
19,"dydx1qsjfy4mw2gm6sr8j00jqka0kjkszr0dqy96ngl","[""XLM"",""ETH""]",7.995861333333333,1724659428125,238.4191359999968,1.6973705490590514
20,"dydx1ndxvlg5z3n5jcqws8gjm8rsf3vdnsm2x442jjy","[""BTC"",""ETH""]",195.448,1724659428070,5062.592192999997,1.685412823268543
21,"dydx1nc4qr9vu60wn54wmw7m8fhk69x7z6frdpg8dgm","[""ETH"",""APT""]",94.50442666666666,1724659428070,4987.833313999996,1.634449666577869
22,"dydx12yncj9hpmszns375gdm590z2gztk9zqyj8kyqz","[""1INCH"",""PENDLE""]",41.304959999999994,1724659427871,1956.545532,1.5798360073752247
23,"dydx126u9tdhxpujyv3v05y7e6pas9euc6jlyv502ee","[""PEPE""]",280.8650666666666,1724659428212,4721.345609999997,1.572044039244405
24,"dydx1ddjpgq2rvjjpepng88tv3vz4jlr63y9uy53s5u","[""1INCH"",""PENDLE"",""BTC""]",190.06719999999999,1724659427982,5127.537275999999,1.5286466552552056
25,"dydx1t03dee2k7hm7sg9cdspgk9qs43jdhzndeq0fj3","[""MOTHER""]",0,1724659428178,14946.853921000002,1.3753423723067595
26,"dydx17l6ppwfufsw59vj5w3rd0spuesd45q8ysqwsks","[""ETH""]",0.6428159999999999,1724659427927,1357.758791,1.2622617673209033
