block_height,block_timestamp,tx_hash,sender,recipient,quantums,USDC
18109303,2024-06-14 06:50:29.084000 UTC,E4758A8632B87729C13AF5B9870BC3BA289B7D7B7217A9C93C15167775EE5B61,dydx1esd2vegdfzqdaznz0az4guedsfz4mfx0slxafp,dydx1knal8a729nfm08d06datzldl60en0pjfurum38,7E+11,700000
23180571,2024-08-19 12:28:30.767000 UTC,CAC8238081B9B88B4E18D1449216819DE52B639FFF8267BA8F384D6F39E5247F,dydx1dm8ykf2fcqcycx349lpqvzh38jdmpdhdwqgufa,dydx18epu5pae2uskq23xd5cjnjwcxqxnz9epxqh86n,6.58347E+11,658347.0986
20094538,2024-07-10 18:33:45.592000 UTC,385BA5594862CC39D373C20010D6AB1DE66FE38ABFD1A1BFDCEF621A6CAB3CCE,dydx1dm8ykf2fcqcycx349lpqvzh38jdmpdhdwqgufa,dydx18epu5pae2uskq23xd5cjnjwcxqxnz9epxqh86n,6.44772E+11,644772.2882
20738070,2024-07-19 19:05:37.277000 UTC,6623CAE66067ED4DC472D6136EECD2169B170FB389175421F264F22674A06838,dydx1fx9qt7rw3d2l2u0ut72fh204s60mr29wukksrr,dydx1esd2vegdfzqdaznz0az4guedsfz4mfx0slxafp,6.40843E+11,640842.9031
22071063,2024-08-05 12:40:11.359000 UTC,407335B145420698CF1159BBB4EEE0879330D5CA7753E10DC36DE69E5CAF0B35,dydx1dm8ykf2fcqcycx349lpqvzh38jdmpdhdwqgufa,dydx18epu5pae2uskq23xd5cjnjwcxqxnz9epxqh86n,6.27455E+11,627455.2764
18221563,2024-06-15 20:38:07.368000 UTC,961211B251600E038AA7A2B8F608F2F3AC6B757201B3EBBDC89C8B5479A6A3F1,dydx1esd2vegdfzqdaznz0az4guedsfz4mfx0slxafp,dydx1knal8a729nfm08d06datzldl60en0pjfurum38,6E+11,600000
19487293,2024-07-02 17:11:02.176000 UTC,7862ECB44FC92F6195C6CF24EA8C0E15F2F3C8C67F9872942D2831BE19DD287C,dydx1343n8g7yjvg9almky675hp86k0zpsqyttnkprd,dydx1knal8a729nfm08d06datzldl60en0pjfurum38,5.48844E+11,548844.2927
20300168,2024-07-13 14:31:28.559000 UTC,B3D138B99A707C9DCF690A57EF98367860833D13E80150E1FBBBB6F36709047A,dydx1dm8ykf2fcqcycx349lpqvzh38jdmpdhdwqgufa,dydx18epu5pae2uskq23xd5cjnjwcxqxnz9epxqh86n,5.10626E+11,510625.7826
19487554,2024-07-02 17:15:36.275000 UTC,19F58A2A5299B009E2A065EE03C801A6051099B8651B19643381B929BB608B1D,dydx1esd2vegdfzqdaznz0az4guedsfz4mfx0slxafp,dydx1knal8a729nfm08d06datzldl60en0pjfurum38,5E+11,500000.1
21341613,2024-07-27 18:07:26.222000 UTC,3B1B5A7E1B604193A4278E6AE0F2D0D553EAB75B77CBE5FA9BAAEA095F781C82,dydx1vaar5gsyccy4nlrgd89eh5yenux88tjghelduq,dydx1xz2uk354w2jwyrdaf9mwyn9wy8wr4yurktxcu7,5E+11,500000
21080095,2024-07-24 11:42:55.455000 UTC,3E2E732A0226650DF081D65381D189122B628F561AFB3DEDEF8230BC77036D10,dydx1vaar5gsyccy4nlrgd89eh5yenux88tjghelduq,dydx1xz2uk354w2jwyrdaf9mwyn9wy8wr4yurktxcu7,5E+11,500000
20300151,2024-07-13 14:31:11.499000 UTC,79E7EC3157C7D6F016D33C542618718CC016D46E22CBE3104F669DC8D42BB281,dydx1dm8ykf2fcqcycx349lpqvzh38jdmpdhdwqgufa,dydx18epu5pae2uskq23xd5cjnjwcxqxnz9epxqh86n,5E+11,500000
18869901,2024-06-24 22:03:32.613000 UTC,2CA0A51B020F4BDDFF7ABA5D4C10A4D6EE3AD9DB849346ED5C261F5866878DB6,dydx1343n8g7yjvg9almky675hp86k0zpsqyttnkprd,dydx1knal8a729nfm08d06datzldl60en0pjfurum38,5E+11,500000
18858753,2024-06-24 18:17:10.570000 UTC,2CBEE943EF14B6D1634AE387C6450F09A090346ABF1DF105BC56F5540FBBE311,dydx1343n8g7yjvg9almky675hp86k0zpsqyttnkprd,dydx1esd2vegdfzqdaznz0az4guedsfz4mfx0slxafp,5E+11,500000
