"rank","account","markets","incentivePoints","updatedAt","pnl","roi"
1,"dydx1a3kmc66m3ftay4jd048vm32dt20v4jdyuekh9u","[""BTC"",""ETH"",""XRP"",""TIA"",""SHIB""]",4682.9690248,1721138556943,4942.997699999998,19.64759535083222
2,"dydx16ack46p9kwlr0h0ettp7zcazy4w3hp2z4k4a65","[""W"",""MKR"",""ZRO"",""AXL"",""ASTR"",""PENDLE"",""WIF"",""TON"",""SNX"",""DOGE"",""ETHFI"",""SOL"",""MOTHER""]",140.287136,1721138556924,1435.1527850000002,5.718721908399646
3,"dydx1sv0wct4nmawxhjs642379rxv9th3xsz0dm449l","[""ARB"",""BTC"",""LINK"",""SOL"",""MATIC"",""ARKM"",""JTO"",""W"",""PEPE"",""ASTR"",""GRT"",""SEI"",""APT"",""AVAX"",""TIA"",""ETHFI"",""NEAR"",""OP"",""BNB"",""WLD"",""SUI"",""STX"",""BCH"",""DOT"",""ETC"",""ADA"",""LTC"",""ORDI"",""CRV"",""ALGO"",""MANA"",""FIL"",""HBAR"",""UNI"",""XLM"",""ETH"",""WIF"",""AXL"",""COMP"",""ATOM"",""DYM""]",6673.425021066667,1721138557163,18285.493232,5.480499490825428
4,"dydx1gyh9dsrlwnqeu52cc8dvnu383048tzszccenzc","[""PENDLE"",""DYDX"",""LINK"",""WLD"",""FET"",""1INCH"",""ZRO"",""DOGE"",""AEVO"",""ALGO"",""SEI"",""ETHFI"",""ARKM"",""MOG"",""SNX"",""TON"",""AGIX"",""W"",""AXL"",""ASTR""]",464.8557973333333,1721138557059,2736.372706,5.2440803206945406
5,"dydx16rzghgndaqjk87fecasqeqc5hjavfj72tv0tan","[""ARKM"",""ZRO"",""NOT"",""ETHFI"",""STRK""]",129.11171733333333,1721138556974,1971.0566199999994,3.856150204376447
6,"dydx126fcnpmhx0slnc7y9dc5w3f9jp3me5dz5cqplu","[""ETH"",""ARKM"",""BTC""]",1068.5846853333333,1721138557027,10509.603293,3.4924400122224197
7,"dydx1vrglt9nupxkpn6hgtz24skalwuvpr20ly9yxrq","[""BTC"",""ETH"",""SOL"",""LINK"",""AVAX""]",2615.898760533333,1721138557204,1565.541393,3.110853428776046
8,"dydx1kh0cgxr3g62g4e20vfk3p38mfjwn7lj5ur0hua","[""ARKM"",""ETH"",""SHIB"",""1INCH"",""BTC""]",507.87466666666666,1721138557103,8344.572014,2.7735241689662233
9,"dydx15h0ap2vkqzau6zc788q74sn5p77h7cwlvp0cxp","[""ETH""]",283.649952,1721138556924,8180.141836000001,2.682979346498412
10,"dydx1ktq0wph7kvjw8uwt9sw3nazn9vkjssspalc8uc","[""ETH"",""SHIB"",""ETHFI""]",293.483168,1721138557103,7903.612908,2.632314904907105
11,"dydx1yksjtvpg0aslj9swp3sj8q8uq3xve2e2qjlxzt","[""ASTR"",""FET"",""SNX"",""MANA"",""ARKM"",""AXL"",""GRT"",""FLOKI"",""W"",""DYM"",""TON"",""MKR"",""ETHFI"",""FTM"",""ZRO"",""CHZ""]",173.61057066666666,1721138557275,1272.7163290000008,2.3691239420429975
12,"dydx1vv3h76szpm9a8yh49un29wrdnzrk93crpf3gkm","[""MANA"",""PEPE"",""ETH""]",246.21737066666665,1721138557204,7064.120413000001,2.3508627002889315
13,"dydx13zymaghjc79k7rlq6a2cvshuencfn093rgggzq","[""BTC"",""1INCH"",""ASTR""]",92.17517546666666,1721138557032,2962.9820089999994,2.3062947660671584
14,"dydx183nnvx7l5afj452vk6vr2cg9za7k3s78wpszjp","[""ARKM"",""ZRO"",""ETHFI"",""PEPE"",""1INCH"",""ETH""]",424.9686133333333,1721138556991,6431.325714,2.122337399686559
15,"dydx10m46dqmty4n2qlujskrhh0cta09hgr8ttgnmkn","[""1INCH"",""BTC""]",148.78527066666666,1721138557022,6093.542065,2.0199471903626716
16,"dydx1yyu42chd95lgvjwd0d2rqw24mndzjdcp64ex7s","[""ETH""]",15164.299531733332,1721138557275,12080.631021,1.9390961680560852
17,"dydx1trpyqywtgal46y0skvfqn8e9cc9cwfw99wnnzf","[""SHIB"",""ETH""]",225.56032,1721138557181,5593.459534,1.8613412795043833
18,"dydx1zyt3fn7waj49fk2hqkwp3lf3ex0vftlwm3zcw8","[""ETH"",""LINK"",""SOL"",""AVAX"",""DOT"",""APT"",""BNB"",""DYM"",""HBAR"",""ENS"",""TAO""]",0,1721138557286,3360.1375580000004,1.847206419007335
19,"dydx1gyjkfvj92agme8u96cdsj2qexpyjh5ydad64xe","[""ETH"",""ARKM"",""ASTR"",""BTC""]",105.045344,1721138557059,2788.403204000002,1.8113743636157398
20,"dydx19v9mmyycz3v5fkd54chujk5mfzqq2wjq7dakhx","[""AXL"",""MOG"",""FLOKI"",""TREMP"",""STRK"",""ENA"",""MANA"",""ETH"",""PYTH"",""BODEN"",""ZRO"",""AAVE"",""W"",""ETHFI"",""CRV"",""WIF"",""PEPE"",""BTC"",""AEVO"",""ASTR"",""FET"",""STX"",""GRT""]",5738.091343733333,1721138556943,13987.469381000003,1.7695201078958482
21,"dydx1qdgf7wgxjuud2gt56g7sn80gjnffqtm4ym9tn7","[""ETHFI"",""SHIB""]",180.05759999999998,1721138557151,5230.72437,1.742222527978977
22,"dydx15u6ftam25yxe7ce9m9xumgpfw8ue0dj3g9wuvu","[""ETH""]",78.78006213333332,1721138556924,1095.944285,1.718306670069484
23,"dydx1ld007vkz92p4kw56dtsj0v873qpdgve629x02n","[""ETH""]",54.48,1721138557093,4944.195413999994,1.6420587978140602
24,"dydx1f54r6au9svknssgmu8yuehxfysupyczy5z7vat","[""ARKM"",""PEPE""]",124.19349866666666,1721138557043,4879.496325,1.6233700549752927
25,"dydx147dqzmh4kaqeerp0z0p2u7y6xeyqkntp5uelvf","[""ETH"",""SOL""]",0,1721138557032,8312.906179000001,1.410736868889729
26,"dydx1zddswpynt5xylctj27r2ul80jw64z7fe693a5c","[""BTC"",""ETH"",""PEPE""]",15341.678509866664,1721138557286,3710.3176760000006,1.399572930972114
27,"dydx1eqnxeyey8mev5stnvcl8htec7epse7tfj6pytt","[""ETH"",""SOL""]",159.55186666666665,1721138557043,7606.751582,1.23986720229036
28,"dydx17y4v328hd909z667kde56ls4uwt439xgvtzltx","[""PEPE"",""BTC"",""WIF""]",1169.1442453333334,1721138556991,56255.689984,1.1879535157284813
29,"dydx1qg8exfuspw4q56pn6a5zqkz9f665d03mmpv846","[""BTC"",""DOGE"",""BNB""]",0,1721138557151,513.436984,0.9839517775708597
30,"dydx1sdykxv380alfajkrxuq67cnefvraq3j3dyjz7d","[""BTC""]",50.0450944,1721138557175,613.1924290000001,0.9600757150859663
