"rank","account","markets","incentivePoints","updatedAt","pnl","roi"
1,"dydx14ylcku4u2kc7an4jsmrq9yrg29wuc6apyu36q6","[""ETH""]",0,1708624826028,3086.6325460000003,6.360233243320958
2,"dydx1a3kmc66m3ftay4jd048vm32dt20v4jdyuekh9u","[""AVAX"",""LINK"",""SOL"",""OP"",""ETH"",""BTC"",""MATIC"",""NEAR"",""ARB""]",6220.582017066666,1708624826210,4737.058671,4.244568733650431
3,"dydx1xg2q6rjf8ee9v0xnhzvv8xlx355an3fwu87e5l","[""BLUR"",""ADA"",""AVAX"",""PEPE""]",5.8,1708624826311,1450.154743,3.7949211159996548
4,"dydx13p3qy9x27mjf0jfww54xka2xywde28nvk6x5ax","[""ETH"",""BTC""]",7197.598630933333,1708624826028,4771.158943,2.721855083402649
5,"dydx1mdfysxwjapw56069j0t8k04azyaa3u8ruejkxf","[""LINK"",""BNB"",""TIA"",""ETH"",""SOL"",""MATIC""]",154.05341666666666,1708624826240,4728.4695360000005,2.2747187877197566
6,"dydx13xk8k4jr0vrmghsxjz2umygfznele2ljaa4whg","[""ETH"",""BTC"",""WLD""]",30.24,1708624826028,1172.1928980000012,2.237785141314451
7,"dydx1j8ckxd9h8085549ph88f6nalqduvphna9vuxnq","[""BTC"",""BLUR"",""ETH"",""APT""]",304.4562736,1708624826277,979.3946229999999,2.171872706724393
8,"dydx1efxqsprsln8g5x635k8dtrcpgu442rfu50ew7v","[""TIA"",""XRP"",""BLUR"",""ETH"",""SOL"",""PEPE"",""SUI"",""LINK"",""ARB"",""BTC"",""AVAX""]",135.181794,1708624826210,1351.56291,2.0519183318222263
9,"dydx1rwl8c2vw6n53vxrlsqzyacer4j0wyhgxg0y88u","[""ETH"",""BTC""]",133.55210586666666,1708624826362,941.1521749999999,1.8801646173762072
10,"dydx1ywsgsnsvr86u9njtza7x0fm004yns5009dzkgv","[""SOL"",""BTC"",""ETC"",""BNB"",""OP"",""TIA"",""ETH"",""LINK"",""ATOM"",""UNI"",""WLD"",""ARB"",""LDO"",""XRP""]",149.92154133333332,1708624826311,3344.8368149999997,1.8783367869770196
11,"dydx1u62k26sskz2fajvj40gmvs7c5lhlw6rskcu2ym","[""BTC""]",57.509541333333324,1708624826362,626.078031,1.8125772679426888
12,"dydx19hkt4fv9xx8vd9p78fwynkfcrmyuv7u0kwtm3j","[""FIL"",""BLUR""]",91.370312,1708624826141,877.543519,1.75482114399062
13,"dydx1r9ype3wrxamhldazjwws23y620ycpkg2vkr4xn","[""ETH""]",0,1708624826362,2347.486384,1.5065277694214114
14,"dydx143y4k63098s46jcyhkkmgv49jdhdyq5aaarxf7","[""ETH"",""PEPE"",""MKR"",""LDO""]",92.41133333333333,1708624826028,352.56857,1.4870758091352034
15,"dydx1jyp2qgsll3aryz5d5zt2gwp3c0gumafk4tdcv2","[""TIA"",""SOL"",""BCH"",""ETH""]",356.82680613333326,1708624826277,1882.91528,1.3608095961753435
16,"dydx1stq9ts8qcxeszpqhj3nkgycurmczuk39dlxdy6","[""BTC""]",59.864,1708624826362,2162.754404,1.2905011005838185
17,"dydx1hjr3ahu8vfm206spyg98uqj2lysj8awsxkyw6a","[""BTC"",""SOL""]",3.781333333333333,1708624826277,385.25030699999996,1.2506671204060638
18,"dydx1ykq74jjrh7feuv2xgt4fwa3v5pna47acm02rmp","[""BTC""]",0,1708624826311,7401.308843000001,1.1857202596348269
19,"dydx1kagetkjek6w08pnqsupujkf3lljtyj5tnp8a8y","[""ETH""]",0,1708624826277,288.28299899999996,1.140454480466061
20,"dydx1m6skjm3hpwq6hj9pfm7ckwx89tfcyg0yrlhtf0","[""BTC"",""ETC"",""ETH"",""SOL"",""AVAX""]",48.812714666666665,1708624826240,818.2674440000001,1.110599150181811
21,"dydx1truznm6v4h8f9uaf6gg04cm5rm4675ntamfefr","[""BTC"",""ETH""]",0,1708624826362,1807.3624400000003,1.0409635208835042
22,"dydx1pw9vxgd8ws8uu06flnunswjhulx6yx87ry0fxj","[""BLUR"",""ETH"",""SOL"",""ARB""]",455.06811999999996,1708624826240,1986.333458,1.0230696365003902
23,"dydx1c0ud83vw3ufp3nesv0kxzh0rkmjhax3d0qksqz","[""BTC"",""ETH""]",1190.5662605333332,1708624826210,2788.3235400000003,0.9450287202845633
24,"dydx1n4hjsrz6yrgwns5w055lk59s8pm6z3a6hv7t9c","[""BTC"",""ETH"",""SOL"",""AVAX""]",1018.4238497333332,1708624826240,2041.2573989999999,0.9430539557800749
25,"dydx1asgjnz5fkaf5986ujlasunutfnpesr66t08u00","[""BTC"",""ETH""]",86252.5580216,1708624826210,440.023662,0.9320008462790397
26,"dydx1sk5346p6723pptpr60wzpy2jcgjtv6kxe0v0zu","[""ETH"",""ATOM"",""MATIC"",""BTC""]",148.56332266666666,1708624826362,850.921327,0.9300649347651383
27,"dydx14rap7232jgk793hgxaszwra05yt8jqj47xsvkl","[""ETH"",""NEAR"",""BLUR"",""TIA"",""BNB"",""MATIC"",""SEI"",""SUI""]",71.74790266666666,1708624826028,607.469347,0.9177336920479867
28,"dydx1lztvfapvae4s85egxjjq5yyek5vaau44w6du84","[""APE""]",4.736839999999999,1708624826240,1397.322768,0.8750724536036354
29,"dydx1dwh0cfeat7wy56lxv7tktx0mgcy79qd6x4umwy","[""ATOM"",""ETH"",""NEAR"",""OP"",""APT"",""DOGE"",""SEI"",""WLD"",""LDO"",""ETC"",""SUI"",""FIL"",""LINK"",""BTC""]",209.30655066666665,1708624826210,498.54691,0.868017459009713
30,"dydx1c8yzz4r9e8pf2fenkk82spqwc8l5shk3p3syav","[""ETH""]",0,1708624826210,222.804878,0.8519510990928476
31,"dydx13kwh9ppawnlqaes6epeq2ak5q43cfxhg9szrwg","[""ETH"",""DOT""]",0,1708624826028,664.6330700000001,0.7715131202302511
32,"dydx15w08684nkjd8ykvhljtkhsdhy6l4cuaj02324h","[""LDO"",""BLUR"",""PEPE"",""TIA"",""SEI"",""WLD"",""SUI"",""SOL"",""ADA"",""AVAX"",""NEAR"",""APT""]",507.952876,1708624826141,8129.585433,0.7687454957230794
33,"dydx14v3dn4ckjyx58z3m48ny6rhktvhmlekry6lxnl","[""ETH""]",0,1708624826028,606.077661,0.7662774557748557
34,"dydx1hzj55ypezrfs74ud335rwzmlzzfwqkr544wkpt","[""SEI"",""ETH"",""BTC"",""SOL"",""TIA"",""AVAX"",""FIL""]",50199.611966,1708624826277,935.8498940000001,0.7503375073973116
35,"dydx1mlzynk89d9kwm8uzdrdh49htynndjycv7pqepd","[""FIL"",""BTC""]",3.743472266666666,1708624826240,225.082825,0.7436723619994615
36,"dydx1ua8g28n6c5hxlt3wxm3plr2jnzz6d5jc9n7387","[""ETH""]",0,1708624826362,2296.677558,0.7036348844420521
37,"dydx1qkeas2psmdhvyf95uw0g5u35lxkcvx96j6geg6","[""ETH"",""TIA"",""MATIC"",""FIL"",""LINK"",""DOT"",""BLUR"",""SEI"",""APT"",""SOL"",""SUI"",""ADA"",""NEAR"",""WLD"",""DOGE"",""AVAX"",""BTC"",""OP""]",203.71567866666666,1708624826362,688.130617,0.678179920391074
38,"dydx19esl2f25f2zx7k8n4vthyujzv7c9ep3wjtg0yh","[""SEI"",""SOL"",""AVAX"",""ARB""]",2.2432,1708624826141,321.997526,0.6611604635940845
39,"dydx1f80lc6n8uqlyj0hy300wcgwwk6sw44ruq7gnug","[""TIA"",""NEAR"",""ETH""]",276.126472,1708624826210,1544.317485,0.6422043086162377
40,"dydx1492t0uln4m9rqq5vsw5dg3hx6tqffr97cqkf27","[""ETH""]",0,1708624826028,319.748684,0.6378288269236326
41,"dydx1resm2ghjejamvp9j0vzdkjhrs8mfangurmexpl","[""ARB"",""ETH"",""BTC"",""BNB"",""SEI"",""NEAR"",""AVAX"",""CRV"",""SUI"",""PEPE"",""WLD"",""LINK"",""XRP"",""FIL"",""SOL"",""BCH"",""SHIB"",""TIA"",""LDO""]",55.17227733333333,1708624826362,380.451913,0.634822828330372
42,"dydx1vfnc5lnrc07nfknt3wuyxlk3ud9ncl8rmeylrc","[""UNI"",""ETH"",""AAVE"",""LINK"",""ADA"",""DOT"",""ETC""]",62.529333333333334,1708624826311,1726.026375,0.6231601264049663
43,"dydx1yew6dz9canm0sw4gnjfre6r8cm3guxcsl8j9hf","[""BTC""]",0,1708624826311,264.951075,0.6158308501489358
44,"dydx1rqrn6py4grhwfhg2qtghnanx0l2rfwfh8danql","[""ATOM"",""AAVE"",""ETH"",""LTC"",""TIA"",""BTC"",""ADA"",""MATIC"",""FIL"",""XRP""]",319.81344666666666,1708624826362,1201.872447,0.6072241010221402
45,"dydx1x2qghxsfnnlzu988d96qr9l03z745r8dqmk4g5","[""BTC"",""ETH"",""LINK"",""SOL"",""BCH""]",0,1708624826311,320.995343,0.59760334496663
46,"dydx1ejajr966kzp9u8r96al99xucnwgm7ceqp030ju","[""LDO"",""FIL"",""SUI""]",107.74947999999999,1708624826210,298.015672,0.5956371215710882
47,"dydx1t3ejwcc97cwt3ykhcphztx4dew0q0an9sc632f","[""SOL"",""ETH"",""BTC"",""JUP"",""BNB"",""ATOM"",""APE"",""ARB"",""OP"",""SHIB"",""SUI""]",39.28606933333333,1708624826362,390.293823,0.5857733579933961
48,"dydx1nuaygu67eg2e9xu0hkhz2nph296ppn66sfv4kz","[""BTC"",""XRP""]",28.590826666666665,1708624826240,314.389864,0.5851894438427404
49,"dydx1kqlxpm2732g2zu7hddv7jwdctd227xhjqugkhn","[""TIA"",""BTC"",""SUI"",""LDO"",""SEI"",""ATOM"",""OP"",""ETH""]",167.03285999999997,1708624826277,1344.8698419999998,0.5844657802981117
50,"dydx1tv664rvad6yk8d0f8sgzy26vrce48zxfq83rnx","[""SOL"",""LINK"",""UNI"",""FIL"",""AVAX"",""ETH"",""NEAR""]",9177.955413333333,1708624826362,4874.352335,0.5806066234343324
51,"dydx1mythp5y2pfl5jldaanje33c9tn26d9c3c4dlhq","[""BTC""]",0,1708624826240,281.164333,0.5732156499536146
52,"dydx17lavtra27scpuzmgy20wn748spr727azdx2z94","[""ETH""]",0,1708624826141,258.91722599999997,0.5678115582636295
53,"dydx148hwp6wqj9q7tcmucmjmw0jvlu4n6m456dmyvc","[""LINK"",""MATIC"",""AVAX""]",0,1708624826028,1513.3998760000002,0.5646595202992746
54,"dydx1peka8e9zfcm700g52aettdsmg798309ysntl6j","[""SOL""]",67.9887,1708624826240,982.6208899999999,0.5564934937130702
55,"dydx1y0rkgelkj4rd36fgh5wdxhp7n95nhe949pyfma","[""BTC"",""ETH""]",0,1708624826311,2375.7777510000005,0.5421546631569464
56,"dydx1m8ju53xevppajcd0tdpj3kjy7dc5wgrsseqqt9","[""BTC""]",186.08873333333332,1708624826240,1214.192826,0.5328406351292871
57,"dydx1dpsv35qeexlvqqj29zzpcpy5yeujtqedqt3myv","[""AVAX""]",76.88743666666666,1708624826210,758.124374,0.5248735621209734
58,"dydx1qgkjr3k4df0vk54k2m0px6aw954wrrsj82eatt","[""ETH"",""CRV""]",2916.234753066666,1708624826240,5102.1646390000005,0.510630793453413
59,"dydx1rzpk8t6w59yufcact05x0y6yaeem3eps2nc04r","[""BTC""]",12.238719999999999,1708624826362,428.18409,0.5098752562769102
60,"dydx16aegtc32ruq57qqaymrwjp3gj07lju6cxlm77e","[""LINK"",""ETH"",""BCH"",""BTC"",""LDO"",""SOL"",""TIA"",""SEI"",""WLD"",""BLUR"",""SUI"",""OP"",""MATIC"",""AVAX""]",314.7316396,1708624826141,352.527098,0.49150030276879814
61,"dydx1hferqx7qnpv9ra42ypnglffh8qqvaya8whdphy","[""APT"",""SUI""]",73.24338399999999,1708624826277,359.32089899999994,0.4879789155718896
62,"dydx1eqvj66f449k6vq72as96lvkvzsrtsdffwfg9nq","[""SOL"",""COMP"",""SEI"",""TIA""]",7,1708624826210,568.1397290000001,0.4816936588755509
63,"dydx12amh9y3wgpdetakd7vqdz8vg3w3gkd8y4js40s","[""ARB"",""TIA""]",0,1708624826028,99.16144500000001,0.47951788496582903
64,"dydx19y09qkmcw5jskcyvv8epeaz633cud3ds53vnkx","[""AVAX"",""FIL"",""LDO"",""TIA"",""BTC"",""ETH"",""SOL""]",120.63019,1708624826141,396.987735,0.4711225551093231
65,"dydx1skncvcwtw35jmjfrwy5nmdlrre46qse4fjrzdy","[""MATIC"",""LINK"",""DOT"",""BTC"",""DOGE"",""JUP"",""ATOM"",""SOL"",""AVAX"",""UNI""]",63.13062133333333,1708624826362,896.9579180000001,0.466551310387605
66,"dydx1wv0c3sgzrnuewp9d2x73qfakqw0fg2teencpc0","[""MKR"",""BTC"",""ETH"",""SOL"",""ARB""]",5.9874,1708624826311,3059.087645,0.4543497251332873
67,"dydx1zt8mp40u2gngnwg4wfj0whr7ysmvqzvt3uyc2q","[""AAVE"",""BTC"",""ETH"",""UNI"",""ARB"",""OP"",""SUI""]",0,1708624826311,392.397658,0.44404756117705163
68,"dydx1hgajcz2njrw6yl5ul9yrw4sp9ykmwjf73rmwt8","[""ETH"",""BTC"",""TIA"",""MATIC""]",150.42796133333331,1708624826277,12320.317819,0.44196570893213566
69,"dydx1nc4dhpy8vsley54ag8qvme64xvd004gddh0wrs","[""ETH"",""BTC"",""SOL""]",1576.205272,1708624826240,3636.192663,0.43405160384301156
70,"dydx1mxfm59qfmwg5g2xaq9vmxl8lrqjljthfjeqs3j","[""ETH"",""SOL"",""LINK"",""BTC""]",71.12574346666666,1708624826240,509.562473,0.4318667367150278
71,"dydx1uu9ysy08twlh687wj4a09pd7me4hxj62y34lc5","[""TIA"",""ATOM"",""JUP"",""BTC"",""FIL"",""SOL"",""SHIB""]",147.68383466666666,1708624826362,1005.2500709999999,0.43014827013631407
72,"dydx1zwg7eme99m96dg7ey387qd2stmrrnaj82r26mf","[""BNB"",""AVAX"",""ETC"",""LINK"",""ETH"",""DOT"",""MKR"",""TIA"",""APT"",""XRP"",""BCH"",""LTC"",""SUI"",""BLUR"",""ARB"",""NEAR"",""DOGE"",""WLD"",""BTC"",""ATOM"",""PEPE"",""SEI"",""OP"",""MATIC"",""ADA"",""SOL"",""AAVE"",""FIL"",""UNI""]",264.3666693333333,1708624826311,403.018031,0.4292319288342723
73,"dydx154yqv9vgfwv8z739m9m089x0u0pajuwwujz2tz","[""ETH"",""SEI""]",0,1708624826028,1164.674955,0.42532554304383674
74,"dydx1sdhujetjxq5ev3vmgyqpx63r8ej58793a59xcv","[""AVAX"",""BLUR"",""ETC"",""XRP"",""BTC"",""ETH"",""LINK"",""SOL"",""LTC"",""DOGE"",""BCH"",""SEI""]",29.234306666666665,1708624826362,1690.833596,0.4162859716044636
75,"dydx1d8rlv939v2lxlnk7fqgvc3z37sffklfu630dem","[""AVAX"",""ADA"",""NEAR""]",1.2986666666666666,1708624826210,132.917464,0.40835803554359384
76,"dydx1ks7ma6353r6c6wlgapl4dj36s0plrhgv8mqcmf","[""AAVE"",""UNI"",""BLUR"",""MKR"",""JUP"",""CRV"",""LDO"",""ETH"",""ARB"",""XRP""]",155.46314533333333,1708624826277,2552.080598,0.4033935299197886
77,"dydx1m2e4qm73xpxgnew2t4xywypkr3ef5jj6szkrm5","[""BTC"",""ETH"",""SOL""]",0,1708624826240,443.96074099999987,0.39801529960870824
78,"dydx168q7yp5xvl0qca4h07w2gr8es4typvhdhh8trm","[""ETH"",""AVAX""]",0,1708624826141,559.2685240000001,0.3964533129365044
79,"dydx12qqcyu59le2dfyhnc6dmp5pmr7z7chc3ygs8xp","[""BTC"",""ETH"",""MATIC"",""SOL"",""AVAX""]",0,1708624826028,221.532614,0.3949691800376114
80,"dydx1wgez0lfy27c0qvs2urtk5ympzelqkp4kunf524","[""BTC""]",0,1708624826311,297.135511,0.3882259157552035
81,"dydx1qawqaxg2mxxv4wc7ayd3cd7seps66886mw0s48","[""BTC"",""ETH"",""AVAX"",""LTC"",""UNI"",""COMP"",""ARB""]",0,1708624826240,451.79934000000003,0.38757371553677455
82,"dydx1a9xc74ek0443vm03lygpajvcwp6atya7ss36p4","[""TIA"",""BTC""]",11.374101333333332,1708624826210,143.35690000000002,0.37044424605678694
83,"dydx1hjgge2v35p888uuqvm359j5uj43kk58tpxsvka","[""BTC""]",2.6590135999999998,1708624826277,181.444656,0.36168252065485296
84,"dydx1wj54yq5xawu3fav6cfxcrz2cqcvxw3httw5tmj","[""ETH""]",0,1708624826311,1079.459615,0.35589611075806116
