"rank","account","markets","incentivePoints","updatedAt","pnl","roi"
1,"dydx1049d2f9p84j5z744v85h9xj42k4dmezd92047n","[""ETH""]",89.8257456,1721138557022,2090.527665,7.69609976066054
2,"dydx1cxk9xj2u283jz6tneqvq484d6r7yms3g5ngshg","[""ETH"",""BTC"",""SOL""]",392.2135893333333,1721138556879,21204.624288,7.5558498507980945
3,"dydx1ry33lvqeaxp2m0k4dqyd2tvdg7epe0rp2jxkqe","[""1INCH"",""ETHFI"",""TLOS""]",16.754666666666665,1721138557175,1053.2160500000027,3.9934216244216696
4,"dydx1h0ku0sj9z7w0rn47c692e0074x4suysu89w5wj","[""BODEN"",""1INCH"",""TLOS""]",18.579733333333333,1721138557071,1011.3516299999974,3.9727435779889353
5,"dydx1q2uh4c3azs8yng8wnyu480dfq3y0chcux3ceuu","[""ETH""]",0,1721138557145,971.488417,3.786516636190009
6,"dydx1eygux3h7e66sh927fk8rmjmw6ljlydcr024ff2","[""INJ"",""MANA"",""TREMP"",""WLD"",""ETHFI"",""IMX"",""BCH"",""W"",""FET""]",107.00105066666666,1721138557043,879.7067539999999,3.517674555462139
7,"dydx1l6v3f4h2mcp750ft7axqzgmjpvtl94l2mpxpwk","[""ASTR"",""ETH"",""MKR"",""BTC"",""ETHFI"",""SOL"",""AXL"",""ZRO"",""FET"",""W"",""1INCH"",""GRT"",""ARB""]",123.37074586666667,1721138557093,856.798908,3.4254955037735493
8,"dydx1kg8cq523dcezcz35h0w8z723dewlx6qzlcns00","[""MANA"",""1INCH"",""FLOKI""]",19.34613333333333,1721138557103,851.0372599999973,3.3338627191971058
9,"dydx1ftul5qpry2540xjpyh8x62luu60m8f6g0gfcsx","[""TON"",""CHZ"",""ETHFI"",""SNX"",""W"",""ETH"",""WLD"",""DYDX"",""RUNE""]",122.69219199999999,1721138557053,1924.079848,3.150558636116758
10,"dydx1fgr5wrqkn08ntwz9n8n8s4p7qcv5mudmzume3x","[""MANA"",""PENDLE"",""BODEN""]",16.777066666666666,1721138557053,796.3854300000094,3.08638722189994
11,"dydx1edsgmjmyme227gj820p2nfvggfgvkppssgnqnw","[""BODEN"",""FLOKI""]",14.920266666666665,1721138556904,753.2702449999997,2.978390804523166
12,"dydx1t5sj55k7m0l9dnjepejvluugsm27kkwpsu9rry","[""MANA"",""1INCH"",""BODEN""]",15.819733333333332,1721138557181,727.9033799999961,2.8733288723454953
13,"dydx1mtessr56dvhmadn88pxsnr552uyqan9sef03rk","[""ETH""]",34.3422512,1721138557122,804.925307,2.8224279936277057
14,"dydx143kfdldwa5xssjwxc3yls07qz509mdglwetzmh","[""ETHFI"",""1INCH"",""TLOS""]",13.816272,1721138557032,715.691942999998,2.7832626389497794
15,"dydx16c7r09z3sr5mhkl5stjx3euzx7hnu9sw7gaymx","[""ZRO"",""ARKM"",""NOT"",""BODEN""]",51.132346666666656,1721138556974,1070.8294899999964,2.643799185704615
16,"dydx12yncj9hpmszns375gdm590z2gztk9zqyj8kyqz","[""ZRO"",""BODEN""]",41.861866666666664,1721138556933,898.1150899999993,2.6389271997683874
17,"dydx1ejgxvtwrtfa3keft0qrcnuah8xlylymddl8g0c","[""ARKM"",""BODEN"",""ARB"",""NOT""]",19.83934933333333,1721138556904,823.5454830000017,2.610264239048133
18,"dydx17l6ppwfufsw59vj5w3rd0spuesd45q8ysqwsks","[""ETH""]",41.4221064,1721138556833,635.7683109999999,2.2315496297787654
19,"dydx1nxvslcrrq4e9uksar693ayd5s4kcfafdshrj0g","[""DOGE"",""MATIC"",""LINK"",""AVAX"",""FIL""]",238.5415413333333,1721138557138,572.231236,1.935456646304465
20,"dydx1a6daeav3gq2n4dg5aq2vksk7qfa2tklxppjmmt","[""APT"",""AVAX"",""ATOM"",""SUI"",""BCH"",""UNI"",""DOGE""]",353.1471113333333,1721138556943,538.991756,1.932734344100486
21,"dydx1r326sv0ywgedrz27slcm43r60kckl7v05ch3yf","[""ETH""]",31.2735136,1721138557157,479.655359,1.7858835947680332
22,"dydx1gj6he4j4mz6ck23uvs7rk0sa6nx76xh9f35sgm","[""ETH""]",28.576861333333333,1721138557059,461.113797,1.7426125999221997
23,"dydx1y89nnzgwagaj37u8xqp5spgk6rfzdlqzlwusj9","[""ETH""]",19.57229093333333,1721138557260,437.411207,1.603997122222729
24,"dydx1gfqtemp7fzd3xlcvjkme8ya08uzq84jxrra239","[""SOL"",""ETH""]",17.319,1721138557059,2412.944721,1.3460367368159731
25,"dydx13ew6ugpzk66z2a9vtmpn8sv0eql3zsw043kdvy","[""BTC"",""LINK""]",0,1721138556914,1199.99718,1.2260208869271105
26,"dydx10en5gmm3g4nhsk9tqmxe2xm9w47w43d83ttx88","[""UNI"",""DOGE"",""BTC"",""AVAX"",""SOL"",""MKR"",""ETH"",""LINK"",""NEAR"",""ATOM""]",2561.2478066666667,1721138557022,8798.046942,1.2205846076821738
27,"dydx1c73jsy7lfjxvzk9uuw2mm46g0rj4jtxd7au6wg","[""BTC"",""ETH"",""SOL""]",0,1721138557005,5805.363549,1.1926392488180904
28,"dydx1h4v93zu9j78n3uu3zvewj2n4amhuephaf4s03l","[""ETH"",""BTC"",""SOL"",""BCH"",""APE"",""LDO"",""PEPE"",""JUP"",""RNDR"",""WIF""]",11.717333333333332,1721138557071,3830.967106,1.132754512865165
29,"dydx12tdmp7xvm648x6y0d9e4lcluhxyrnngyyhy90r","[""BTC"",""ETH""]",817.9030434666665,1721138556933,1886.1379539999998,1.0835321448809088
30,"dydx1w8d3qzp7ljdldn38lwy4alqcxlq075qtfpnmzm","[""BTC""]",0,1721138557204,830.1952590000001,0.9454835275756363
31,"dydx1ctd3g6373xjnawwja9qpqrcqvek3zpx26apgxk","[""SOL""]",0,1721138556879,2646.308789,0.9432433918940109
32,"dydx1lxsh89zsu2gk92ppxq0gsu9rsdxcte9x55432z","[""BTC""]",0,1721138557113,326.716589,0.9372483664679373
33,"dydx1qq9kzvwh9a8ye37e9dwsjq9v9dz6uhtgtknxuv","[""STRK"",""PEPE"",""SHIB"",""JTO"",""BONK""]",533.8579306666666,1721138557151,352.559763,0.8619014787128196
34,"dydx1mxtv7zcdwtftraq6l8twpk2fhnk4l6e6d7a32w","[""TON"",""LTC"",""COMP"",""ORDI"",""JUP"",""AAVE"",""MKR"",""SUI"",""OP"",""AXL"",""STRK"",""PEPE"",""PYTH"",""STX"",""WIF"",""ALGO"",""MATIC"",""DOGE"",""SNX"",""LDO"",""ETHFI"",""INJ""]",2564.4646746666663,1721138557132,2483.693992,0.8608519562870942
35,"dydx1ujrte3jywxtt6tyvg0hsk4dnaqppgn0fzhpcvz","[""ARB""]",105.62666666666667,1721138557187,317.7456000000001,0.754042545698548
36,"dydx1nqkzd8msqq2w69eytvcl5sett2redz7uvj2u8a","[""LINK"",""AXL"",""SNX"",""DYDX""]",0,1721138557138,1501.9822840000002,0.7468549365040038
37,"dydx1qy2qakxyqymgufmrj4npy8uxt26qwuq6q7kuer","[""ETH"",""MKR""]",79.86666666666666,1721138557157,4865.375935,0.720828147408884
38,"dydx1j8ckxd9h8085549ph88f6nalqduvphna9vuxnq","[""ETH""]",9.057317333333332,1721138557076,679.8710460000001,0.6601282549345199
39,"dydx1kz6qqssntggy2rutf45nt0xksjsvyqzt9p33mk","[""BTC"",""ETH"",""SOL""]",0,1721138557093,2073.0535690000015,0.6441150673213618
40,"dydx1frah73lnmvs7a5pg5zqg5al9gqvzmzaal4x9fg","[""ETH""]",0,1721138557053,1885.68793,0.622986011463106
41,"dydx1el4w2lc9sg6m7awr7vfa99t70u53z4m9rv2h8m","[""BTC""]",0,1721138556904,975.486133,0.6192102639609448
42,"dydx1qkeas2psmdhvyf95uw0g5u35lxkcvx96j6geg6","[""ORDI""]",11.562666666666667,1721138557151,168.406876,0.5972003370001497
43,"dydx1jdzfksrwwq7luvl5g6qg5jv26jcq23x70q2zxs","[""ETH"",""BTC"",""AVAX"",""SOL"",""MATIC""]",3.8864763999999994,1721138557076,162.091639,0.5924184313782562
44,"dydx18gzhgd5nl7pyz2kdjkuly00t9rxpg2cgpnfve6","[""ETH"",""NEAR""]",5.998658666666666,1721138556865,251.42178300000003,0.5833568104052187
45,"dydx1f334s7jvgmgw0jyf2hcv2p9m2gzagzx9t092ge","[""UNI"",""ETH"",""DOT""]",68.58133333333333,1721138557043,850.4423019999999,0.5824616040824643
46,"dydx1uv4t7yjkpg4pscxurhswtm3y8q99hjhglwcqq8","[""ETH"",""SOL""]",0,1721138557212,786.918765,0.5641761436451326
47,"dydx19hm9el2646qpm4zs6v3tklvr4jy4sukkrqr8w7","[""BTC"",""SOL""]",0,1721138556998,160.789198,0.5443923298228842
48,"dydx1t227r0ke9syw8dgue9xs466k0l4z0tqrye6ywh","[""MATIC"",""BTC"",""AVAX"",""ETH"",""SOL""]",1.6421326666666667,1721138557163,177.157298,0.5408169089516666
49,"dydx1q8e77knhy382rv7209ra32yr5np9guzsehy87p","[""ORDI"",""AEVO"",""APT"",""DYM""]",1.1529706666666666,1721138557151,598.962142,0.5229001346447317
50,"dydx126qut6f8qw3s0we04avtxjts2tn0p4h9vl7ymg","[""SOL""]",0,1721138557027,280.309893,0.4721107511645852
51,"dydx1pex793tgqkhpwzzmy6umj6lkmvfta0nd20n7q4","[""BTC""]",0,1721138557145,386.698948,0.45582619955826603
52,"dydx1gtsju44kk760k882wj60mxnj57f22psl2xc9az","[""BTC"",""SOL""]",0,1721138557059,334.787615,0.4449940650841427
53,"dydx164g52g8gxkjswh9rysyh450w8q87lzga5kh6dk","[""ETH"",""SOL"",""BNB""]",214.37266666666665,1721138556924,778.0347330000001,0.44317269438679413
54,"dydx160xvk9hsl0w000uqzu4unwagxrn90dts0ec806","[""BTC"",""ETH"",""SOL"",""DYDX""]",0,1721138556924,53908.003118,0.40860783195447914
55,"dydx1s4rue52dg0t7vvu8xc0hu9kawjga6gfh5clxfn","[""BTC"",""ETH""]",1.4685983999999999,1721138557175,486.905009,0.40833405355736374
56,"dydx15huvk3g80wpyaxzqf5nx7vdvfzj9e7zgda5yw7","[""MATIC"",""SOL"",""AVAX"",""FIL"",""BCH"",""NEAR"",""XLM"",""ETC"",""PEPE"",""BNB"",""ICP"",""BONK"",""STX"",""RUNE"",""WIF"",""TON""]",0,1721138556924,1743.133936,0.40703877813229844
57,"dydx1wez3434mh9yy3pnxamwyhcnzfvj5cvhzde5lvq","[""XRP"",""BTC"",""SOL""]",19.49540733333333,1721138557223,483.38419700000003,0.39417010032951033
58,"dydx1spv89uxv8jgqaj0lzkd8apk9suw8xp2zvkqdme","[""SOL""]",53.67666666666666,1721138557163,1337.428653,0.3869314395109063
59,"dydx17n9776tl2cr5hjhnvaryyggg6cxax9fr7q74ju","[""PEPE"",""BTC"",""ETH"",""MATIC"",""SOL"",""DOGE"",""FTM""]",2.300458666666666,1721138556833,1041.1989660000002,0.38267756278231163
60,"dydx1d7te604wx69x0kgdsx7ynncckqku3fxch445ku","[""ETH""]",167.18790666666666,1721138557015,493.62840300000005,0.38031026558087927
61,"dydx13nnk0p8rft0nwzqcwj65qggfu65lylkcrmvtul","[""ETH""]",0,1721138556914,3028.976271,0.3800372596140658
62,"dydx16fmr9fxd5ujlc8rsmgurky0ctft39k5tzv4ltu","[""ETH"",""SOL"",""MKR"",""ARB"",""XRP"",""TREMP"",""BODEN"",""ENA"",""DEGEN""]",0,1721138556974,532.722778,0.3593386739951875
63,"dydx13c6z6q85f8lx9hc0qdefxts0vxz49mdvgvrwrx","[""ETH"",""BTC"",""LINK"",""MATIC"",""SOL"",""NEAR""]",8.013066666666667,1721138556914,4964.768997,0.35396984581923485
64,"dydx1rwdjuhewq69ykp5yr2lvgm9vk7gqsspusmqtmf","[""NEAR"",""BTC"",""SOL""]",11.718666666666666,1721138557175,1024.142322,0.3513698630341428
65,"dydx1ckjdu8xntrwhdeepmpp7r6l6uv3gduez0fgh6s","[""BTC""]",63350.44750666666,1721138556879,3700.9389469999987,0.33766815464936895
66,"dydx1q5gylw0e3ujn25hf827qw74seeuef9gq3tv9rz","[""RUNE"",""TRX"",""MATIC"",""TON"",""LINK"",""UNI"",""SOL"",""ETH"",""NEAR"",""JUP""]",22.140292000000002,1721138557145,354.17003,0.3356109123394207
67,"dydx1vzd7t9f96e65cwtsrc5cfn9ns57msd42y647hu","[""BTC""]",0,1721138557204,638.8947679999999,0.3295542259992046
68,"dydx16xcmdzquns2px2609unc7ep0js99erxzjrd9dp","[""TON"",""BTC"",""ETH"",""DOT"",""DYDX""]",346.89824213333327,1721138556974,440.94513900000004,0.32658785633257303
69,"dydx1zvz7m2uprgnd9yhm62aykcs85u2du8ukvtps4k","[""AXL"",""PEPE"",""AAVE"",""OP"",""NEAR"",""LINK"",""CRV""]",19.82544,1721138557286,462.0465160000001,0.32259803460247316
70,"dydx1rclq9zlyswjujuuyyqnrh7cq2xx3kma35jqgn6","[""BTC"",""ETH"",""SOL"",""ADA""]",0,1721138557157,494.542425,0.3215122121355753
71,"dydx12q82zw4fgna5kegd33mhyealzl6vylz9785cgl","[""RUNE"",""BTC"",""ETH"",""LINK"",""MATIC"",""CRV"",""SOL"",""ADA"",""AVAX"",""FIL"",""DOGE"",""ATOM"",""DOT"",""UNI"",""BCH"",""TRX"",""NEAR"",""MKR"",""ETC"",""COMP"",""WLD"",""APE"",""APT"",""ARB"",""BLUR"",""LDO"",""OP"",""PEPE"",""SEI"",""SHIB"",""SUI"",""XRP"",""TIA"",""JUP"",""AAVE"",""BNB"",""JTO"",""ORDI"",""EOS"",""ICP"",""DYM"",""WOO"",""PYTH"",""BONK"",""RNDR"",""STX"",""INJ"",""ALGO"",""MANA"",""AXL"",""WIF"",""ETHFI""]",5.656,1721138556933,342.55737300000004,0.3184258383072988
72,"dydx1g8le2vxntrn8nagjd5d8t2yygektntf4awdszn","[""MATIC"",""BTC"",""ETH"",""AVAX"",""SOL""]",0.9686794666666666,1721138557059,206.06431999999998,0.3058846429195709
73,"dydx1wnph6kldnmsxf39jqnu29g9c6flg6p5xf8y8de","[""BTC""]",267.3432029333333,1721138557223,129.033984,0.2957618064115856
74,"dydx122th6cfll8593vq36x0625xs386ve6g6qapgu3","[""AVAX"",""BTC"",""ETH"",""MATIC"",""SOL""]",1.0790545333333332,1721138557027,166.580669,0.2877941437661734
75,"dydx1s3cdjgncpraad3w57wlj8ffysx6tptcv3vg9gr","[""BTC"",""DOT"",""BNB"",""DYDX""]",20.71205333333333,1721138557175,597.646901,0.2843025477613441
76,"dydx19dapcjk5sw0crwczl9xy5e474fcgd7s3sqnadp","[""ETH"",""SOL""]",173.26120533333332,1721138556998,26067.217774,0.27502040695009916
77,"dydx1hsqkjn2ap3h04qvq7pak8kgh75nlfz8ejtrnuz","[""SOL""]",0.05012666666666667,1721138557076,64.07534699999997,0.26922109513229114
78,"dydx1jevhw7kpyme9wy2f46358zj9trg429xh8yfmd7","[""BTC""]",155.5270616,1721138557076,1428.477773,0.2649429005372343
